epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,98.2748,1.1507,4.66528,1.50891,0,0,0,0,1.8764,4.98947,2.14213,1.25927e-05,1.25927e-05,1.25927e-05
91,101.048,1.34858,4.94013,1.97608,0,0,0,0,1.8764,4.98947,2.14213,1.16739e-05,1.16739e-05,1.16739e-05
92,102.061,1.69084,5.24247,1.74683,0,0,0,0,1.90659,4.96323,2.15744,1.07315e-05,1.07315e-05,1.07315e-05
93,103.077,1.67704,5.17776,1.75498,0,0,0,0,1.90659,4.96323,2.15744,9.76562e-06,9.76562e-06,9.76562e-06
94,104.108,1.39205,5.0252,1.7254,0,0,0,0,1.90659,4.96323,2.15744,8.77613e-06,8.77613e-06,8.77613e-06
95,105.197,1.27331,4.84241,1.86154,0,0,0,0,1.90659,4.96323,2.15744,7.76308e-06,7.76308e-06,7.76308e-06
96,106.259,1.37902,4.98314,1.86929,0,0,0,0,1.9245,4.9637,2.15678,6.72648e-06,6.72648e-06,6.72648e-06
97,107.228,1.36182,4.96755,1.81475,0,0,0,0,1.9245,4.9637,2.15678,5.6663e-06,5.6663e-06,5.6663e-06
98,108.142,1.3912,5.13389,1.78257,0,0,0,0,1.9245,4.9637,2.15678,4.58257e-06,4.58257e-06,4.58257e-06
99,109.195,1.52398,4.98875,1.83487,0,0,0,0,1.9245,4.9637,2.15678,3.47528e-06,3.47528e-06,3.47528e-06
100,111.052,1.33628,4.85695,1.83516,0,0,0,0,1.92326,4.96329,2.16312,2.34442e-06,2.34442e-06,2.34442e-06
